review_id,n_chunks,features_union,latency_ms_total,num_ok,num_not_ok
ELECTRONICS_000032,1,,2871,0,1
ELECTRONICS_007492,1,,3227,0,1
ELECTRONICS_009277,1,,2967,0,1
ELECTRONICS_017183,1,,3547,0,1
ELECTRONICS_022152,1,,3615,0,1
ELECTRONICS_027421,1,,3277,0,1
ELECTRONICS_031596,1,,3678,0,1
ELECTRONICS_035468,1,,2876,0,1
ELECTRONICS_035801,1,,2518,0,1
ELECTRONICS_038026,1,,2660,0,1
ELECTRONICS_039966,1,,2468,0,1
ELECTRONICS_041104,1,,2975,0,1
ELECTRONICS_042844,1,,2704,0,1
ELECTRONICS_073140,1,,2661,0,1
ELECTRONICS_082245,2,,5592,0,2
ELECTRONICS_083442,2,,7192,0,2
ELECTRONICS_093493,1,,2502,0,1
ELECTRONICS_1013181,1,,2751,0,1
ELECTRONICS_102708,1,,2452,0,1
ELECTRONICS_1027901,2,,4601,1,1
ELECTRONICS_1031871,1,,2969,0,1
ELECTRONICS_1034466,1,"added weight, case design, ease of use for children, flip cover functionality, grip requirement, sturdiness",3982,1,0
ELECTRONICS_1036715,1,,2659,0,1
ELECTRONICS_104447,1,,2445,0,1
ELECTRONICS_105242,1,,5319,0,1
ELECTRONICS_1060046,1,,2678,0,1
ELECTRONICS_1092729,1,,2818,0,1
ELECTRONICS_1094584,1,,3783,0,1
ELECTRONICS_109792,2,"battery life, brand origin, cell capacity, cell quality, performance, self discharge",5955,1,1
ELECTRONICS_1113310,2,,8592,0,2
ELECTRONICS_1119682,2,,7767,0,2
ELECTRONICS_1130571,1,,2761,0,1
ELECTRONICS_1140330,1,,2457,0,1
ELECTRONICS_1147899,1,,2392,0,1
ELECTRONICS_1153431,1,,2871,0,1
ELECTRONICS_1170581,1,"usb adapter compatibility, usb hub functionality",2140,1,0
ELECTRONICS_1176513,1,,3466,0,1
ELECTRONICS_1179577,1,,4710,0,1
ELECTRONICS_1194646,1,,2551,0,1
ELECTRONICS_1198915,3,,10807,0,3
ELECTRONICS_1209946,1,,3082,0,1
ELECTRONICS_1210193,1,,2647,0,1
