review_id,status,latency_ms,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,assistant_text_raw
ELECTRONICS_1034466,ok,7286.048650741577,268,93,361,"{ ""sentiments"": [ {""name"": ""added weight"", ""score"": -1}, {""name"": ""case design"", ""score"": 0}, {""name"": ""ease of use for children"", ""score"": 1}, {""name"": ""flip cover functionality"", ""score"": -1}, {""name"": ""grip requirement"", ""score"": 1}, {""name"": ""sturdiness"", ""score"": 1} ] }"
ELECTRONICS_109792,ok,3367.1979904174805,337,86,423,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": -1}, {""name"": ""brand origin"", ""score"": 0}, {""name"": ""cell capacity"", ""score"": 0}, {""name"": ""cell quality"", ""score"": -1}, {""name"": ""performance"", ""score"": 0}, {""name"": ""self discharge"", ""score"": -1} ] }"
ELECTRONICS_1170581,ok,1946.1941719055176,271,37,308,"{ ""sentiments"": [ {""name"": ""usb adapter compatibility"", ""score"": -1}, {""name"": ""usb hub functionality"", ""score"": 0} ] }"
ELECTRONICS_1256430,parse_error,4197.039842605591,621,114,735,"{ ""sentiments"": [ {""name"": ""admin password"", ""score"": -1}, {""name"": ""alarm scheduling"", ""score"": 0}, {""name"": ""compatibility"", ""score"": -1}, {""name"": ""motion detection"", ""score"": +1}, {""name"": ""recording scheduling"", ""score"": 0}, {""name"": ""setup process"", ""score"": +1}, {""name"": ""ssid hiding"", ""score"": -1}, {""name"": ""video review"", ""score"": +1} ] }"
ELECTRONICS_1355336,ok,3574.1095542907715,318,94,412,"{""sentiments"": [{""name"": ""battery life"", ""score"": -1}, {""name"": ""delivery speed"", ""score"": 0}, {""name"": ""fan noise"", ""score"": 0}, {""name"": ""fit"", ""score"": 0}, {""name"": ""packaging"", ""score"": 0}, {""name"": ""price"", ""score"": -1}, {""name"": ""screen"", ""score"": 0}]}"
ELECTRONICS_1466042,ok,2871.1626529693604,946,66,1012,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": -1}, {""name"": ""built-in ethernet/vga ports"", ""score"": -1}, {""name"": ""integrated optical drive"", ""score"": 0}, {""name"": ""software"", ""score"": -1} ] }"
ELECTRONICS_1509607,ok,3069.4968700408936,347,74,421,"{ ""sentiments"": [ {""name"": ""battery life"", ""score"": 0}, {""name"": ""carrying case"", ""score"": 1}, {""name"": ""design"", ""score"": 1}, {""name"": ""noise isolation"", ""score"": 1}, {""name"": ""sound quality"", ""score"": 0} ] }"
ELECTRONICS_1616261,ok,2762.2838020324707,462,62,524,"{ ""sentiments"": [ {""name"": ""battery warning"", ""score"": -1}, {""name"": ""bud size"", ""score"": 0}, {""name"": ""fit"", ""score"": 0}, {""name"": ""power on/off alerts"", ""score"": 1} ] }"
ELECTRONICS_1655703,ok,2867.489814758301,246,66,312,"{ ""sentiments"": [ {""name"": ""airflow"", ""score"": -0.5}, {""name"": ""color"", ""score"": 1.0}, {""name"": ""lights"", ""score"": 1.0}, {""name"": ""noise"", ""score"": -0.5} ] }"
ELECTRONICS_1661613,ok,5929.8694133758545,424,172,596,"{ ""sentiments"": [ {""name"": ""backlighting"", ""score"": 1}, {""name"": ""backlit"", ""score"": 0}, {""name"": ""case"", ""score"": 0}, {""name"": ""hard case keyboard"", ""score"": 1}, {""name"": ""hardcover"", ""score"": 1}, {""name"": ""kensington"", ""score"": 0}, {""name"": ""keyboard setup"", ""score"": 0}, {""name"": ""keyboard spacing"", ""score"": 1}, {""name"": ""pairing process"", ""score"": 1}, {""name"": ""portability"", ""score"": 1}, {""name"": ""set-up instructions"", ""score"": 1}, {""name"": ""turning off and on"", ""score"": 0} ] }"
